"S No","Date","Acknowledged","Category","Location","Source","Current State","To Do","Duration","Description","Acknowledge Comments"
"1","7/23/2025 12:09:11","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AC-5","SF_FAIL","Normal","" ,"","SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
$Main LBNL Campus / Building 71 / First Floor / 71-AC-5 / SF_FAIL","" 
"2","7/23/2025 12:08:59","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 84/HW System Summary/BLR 84-BR-007","HWS_LO","Offnormal","Return","","HWS_LO: Low HWS Temp Alarm is active at Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO.
HWS_LO: Low HWS Temp Alarm is active at Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO.
Main LBNL Campus / Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO","" 
"3","7/23/2025 12:00:00","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 55/First Floor/55-BL-45, 46 (Lab CV Exhaust)","ESTP_HI","Normal","" ,"","ESTP_HI: High EA Static Pressure Alarm has returned to normal at Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI.
ESTP_HI: High EA Static Pressure Alarm has returned to normal at Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI.
$Main LBNL Campus / Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI","" 
"4","7/23/2025 11:55:47","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 84/HW System Summary/BLR 84-BR-007","HWS_LO","Normal","" ,"","HWS_LO: Low HWS Temp Alarm has returned to normal at Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO.
HWS_LO: Low HWS Temp Alarm has returned to normal at Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO.
$Main LBNL Campus / Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO","" 
"5","7/23/2025 11:54:53","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 84/HW System Summary/BLR 84-BR-010","HWS_LO","Normal","" ,"","HWS_LO: Low HWS Temp Alarm has returned to normal at Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO.
HWS_LO: Low HWS Temp Alarm has returned to normal at Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO.
$Main LBNL Campus / Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO","" 
"6","7/23/2025 11:54:25","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 30/First Floor/Rm 109 PV/PEC Characterization Lab/PV/PEC Lab Pressure Control","RMPRESS_HI","Offnormal","Return","","RMPRESS_HI: High Space Static Pressure Alarm is active at First Floor / Rm 109 PV/PEC Characterization Lab / PV/PEC Lab Pressure Control / RMPRESS_HI.
RMPRESS_HI: High Space Static Pressure Alarm is active at First Floor / Rm 109 PV/PEC Characterization Lab / PV/PEC Lab Pressure Control / RMPRESS_HI.
Main LBNL Campus / Building 30 / First Floor / Rm 109 PV/PEC Characterization Lab / PV/PEC Lab Pressure Control / RMPRESS_HI","" 
"7","7/23/2025 11:49:12","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 71/First Floor/71-AC-5","SF_FAIL","Normal","" ,"","SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
SF_FAIL: Supply Fan Failure Alarm has returned to normal at Building 71 / First Floor / 71-AC-5 / SF_FAIL.
$Main LBNL Campus / Building 71 / First Floor / 71-AC-5 / SF_FAIL","" 
"8","7/23/2025 11:42:06","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 30/Second Floor/Rm 218 IDF/30-VAV-076 Supply","DAT_HI","Offnormal","Return","","The discharge air temperature is too warm.
The discharge air temperature is too warm.
Main LBNL Campus / Building 30 / Second Floor / Rm 218 IDF / 30-VAV-076 Supply / DAT_HI","" 
"9","7/23/2025 11:40:49","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-203 FH-6 (FH-0228)","COMM_VAL","Normal","" ,"","COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-6 (FH-0228) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-6 (FH-0228) / COMM_VAL.
$Main LBNL Campus / Building 70 / Second Floor / 70-203 FH-6 (FH-0228) / COMM_VAL","" 
"10","7/23/2025 11:40:39","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-203 FH-6 (FH-0228)","COMM_VAL","Offnormal","" ,"00:00:10","COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-203 FH-6 (FH-0228) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm is active at Building 70 / Second Floor / 70-203 FH-6 (FH-0228) / COMM_VAL.
Main LBNL Campus / Building 70 / Second Floor / 70-203 FH-6 (FH-0228) / COMM_VAL","" 
"11","7/23/2025 11:35:55","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 84/HW System Summary/BLR 84-BR-010","HWS_LO","Offnormal","" ,"00:18:57","HWS_LO: Low HWS Temp Alarm is active at Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO.
HWS_LO: Low HWS Temp Alarm is active at Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO.
Main LBNL Campus / Building 84 / HW System Summary / BLR 84-BR-010 / HWS_LO","" 
"12","7/23/2025 11:35:37","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 84/HW System Summary/BLR 84-BR-007","HWS_LO","Offnormal","" ,"00:20:09","HWS_LO: Low HWS Temp Alarm is active at Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO.
HWS_LO: Low HWS Temp Alarm is active at Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO.
Main LBNL Campus / Building 84 / HW System Summary / BLR 84-BR-007 / HWS_LO","" 
"13","7/23/2025 11:34:50","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 55/First Floor/55-BL-45, 46 (Lab CV Exhaust)","ESTP_HI","Normal","" ,"","ESTP_HI: High EA Static Pressure Alarm has returned to normal at Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI.
ESTP_HI: High EA Static Pressure Alarm has returned to normal at Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI.
$Main LBNL Campus / Building 55 / First Floor / 55-BL-45, 46 (Lab CV Exhaust) / ESTP_HI","" 
"14","7/23/2025 11:34:27","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 70/Roof/70-ARU-009","COMM_INV","Normal","" ,"","COMM_INV: Invalid Communications Alarm has returned to normal at Building 70 / Roof / 70-ARU-009 / COMM_INV.
COMM_INV: Invalid Communications Alarm has returned to normal at Building 70 / Roof / 70-ARU-009 / COMM_INV.
$Main LBNL Campus / Building 70 / Roof / 70-ARU-009 / COMM_INV","" 
"15","7/23/2025 11:32:06","Not Required","Level 3 Alarm","/Main LBNL Campus/Building 66/First Floor/B66 TRW Heat Exchanger for 72","TWR_LO","Normal","" ,"","TWR_LO: Low TWR Temp Alarm has returned to normal at Building 66 / First Floor / B66 TRW Heat Exchanger for 72 / TWR_LO.
TWR_LO: Low TWR Temp Alarm has returned to normal at Building 66 / First Floor / B66 TRW Heat Exchanger for 72 / TWR_LO.
$Main LBNL Campus / Building 66 / First Floor / B66 TRW Heat Exchanger for 72 / TWR_LO","" 
"16","7/23/2025 11:31:18","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-203 FH-7 (FH-0229)","COMM_VAL","Normal","" ,"","COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-7 (FH-0229) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-7 (FH-0229) / COMM_VAL.
$Main LBNL Campus / Building 70 / Second Floor / 70-203 FH-7 (FH-0229) / COMM_VAL","" 
"17","7/23/2025 11:31:15","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-203 FH-8 (FH-0230)","COMM_VAL","Normal","" ,"","COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-8 (FH-0230) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-203 FH-8 (FH-0230) / COMM_VAL.
$Main LBNL Campus / Building 70 / Second Floor / 70-203 FH-8 (FH-0230) / COMM_VAL","" 
"18","7/23/2025 11:31:15","Not Required","Level 2 Alarm","/Main LBNL Campus/Building 70/Second Floor/70-209 FH-5 (FH-0237)","COMM_VAL","Normal","" ,"","COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-209 FH-5 (FH-0237) / COMM_VAL.
COMM_VAL: Invalid Communications Alarm has returned to normal at Building 70 / Second Floor / 70-209 FH-5 (FH-0237) / COMM_VAL.
$Main LBNL Campus / Building 70 / Second Floor / 70-209 FH-5 (FH-0237) / COMM_VAL","" 
